relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,,,,
11863,6.96082489,-6.625372467,1.679657135,985.0549316,127.3228073,,0,,
11929,6.972650299,-6.301595764,2.155218201,985.0549316,129.6372375,,0,,
11996,7.184010773,-6.215225372,1.737436981,985.0549316,132.4899902,,0,,
12063,7.159312134,-6.591842194,1.786085815,985.0549316,133.8874512,,0,,
12129,6.816674652,-6.435267792,2.13770462,985.0549316,133.8874512,,0,,
12196,7.170987854,-6.494993591,2.07573349,985.0549316,134.9795074,,0,,
12263,7.018305359,-6.240672455,2.015858002,985.0549316,136.1238251,,0,,
12329,6.92804306,-6.145470428,1.973346405,985.0549316,136.1238251,,0,,
12396,7.133266296,-6.4776297,1.949994965,985.0549316,136.1238251,,0,,
12463,8.640182648,-7.64071106,2.599194946,985.0549316,136.1238251,,0,,
12529,11.02607117,-10.06042923,2.132914581,985.0549316,134.9692383,,0,,
12596,10.97218323,-14.262491,0.555345154,985.0549316,130.6980438,,0,,
12663,2.439477081,-5.624104614,-0.866248627,985.0549316,114.6545258,,0,,
12729,2.782863007,-4.375401306,-0.795296173,985.0549316,102.5966187,,-0.019989014,,
12796,2.123633881,-5.269192657,0.601898346,985.0349426,107.397995,,0,,
12863,3.887865143,-6.419400787,-0.824635162,985.0349426,116.5524673,,0,,
12928,7.876770172,-9.447603607,-0.67165329,985.0349426,124.0517044,,0,,
12996,7.056925049,-8.811276855,1.172511749,985.0349426,126.8776016,,0,,
13063,5.673052826,-5.467230835,6.343358917,985.0349426,140.2600403,,0,,
13128,3.032394104,-7.471862183,3.271896057,985.0349426,143.8283844,,0,,
13196,5.080884247,-7.422614594,3.944597168,985.0349426,145.9172668,,0,,
13263,3.243754578,-7.430997162,5.031936035,985.0349426,151.2775879,,0,,
13328,3.165467377,-7.237449646,5.641618195,985.0349426,155.2378693,,0,,
13396,3.059637451,-7.272327118,4.892575836,985.0349426,156.9592743,,0,,
13463,2.188149719,-6.930587769,6.053860931,985.0349426,160.6962891,,0,,
13529,2.06166275,-6.507567444,5.656138,985.0349426,161.8860474,,0,,
13596,1.561253357,-6.064937897,7.134613495,985.0349426,160.6599731,,0,,
13663,4.230053558,-6.516997833,7.811056824,985.0349426,157.7177429,,0,,
13729,6.101911011,-14.23345139,3.539389801,985.0349426,154.835556,,-0.017929077,,
13795,4.042792969,-6.576873322,3.005150757,985.0170135,150.6695709,,0,,
13863,5.37068161,-9.769733734,2.542313232,985.0170135,137.9879303,,0,,
13929,7.528145142,-6.795718231,-0.361797638,985.0170135,127.4381943,,0,,
13996,5.636379089,-4.783602448,2.05582489,985.0170135,130.2627716,,0,,
14063,5.078040161,-2.408940582,0.88106781,985.0170135,137.8821716,,0,,
14129,6.315067749,-6.452032928,0.884211273,985.0170135,132.7937469,,0,,
14196,8.227640533,-9.591304779,1.011446686,985.0170135,125.4000015,,0,,
14263,6.230643311,-6.950496368,2.141147461,985.0170135,126.5214615,,0,,
14328,5.684429169,-6.149512024,2.102078705,985.0170135,132.6233978,,0,,
14396,6.564898224,-6.906637573,1.718576202,985.0170135,135.3304901,,0,,
14463,6.71982605,-6.926546173,2.623743896,985.0170135,138.4124908,,0,,
14528,6.598278809,-6.25174942,2.333946533,985.0170135,142.5254364,,0,,
14596,7.961943054,-6.834188232,2.885998535,985.0170135,145.1808319,,0,,
14663,6.568939819,-6.346951447,2.530038757,985.0170135,145.1808319,,-0.022125244,,
14728,6.637347565,-6.605613556,2.076182556,984.9948883,145.1808319,,0,,
14796,6.210734711,-6.428232422,1.827250214,984.9948883,143.9970245,,0,,
14862,6.603517914,-6.646628265,2.000440063,984.9948883,143.9970245,,0,,
14928,7.13281723,-7.412136383,2.291734314,984.9948883,142.9481049,,0,,
14996,7.058571625,-7.104076996,2.168540497,984.9948883,142.9481049,,0,,
15063,8.467292175,-7.993527374,2.422262878,984.9948883,142.9481049,,0,,
15128,8.426726532,-7.984396362,1.521885223,984.9948883,144.2325745,,0,,
15196,4.372407532,-5.31215332,0.769400024,984.9948883,139.1882629,,0,,
15263,5.678591309,-7.439230042,1.265468445,984.9948883,131.8304901,,0,,
15329,6.360722809,-10.18332367,2.778821411,984.9948883,121.2036133,,0,,
15396,4.414320374,-5.698200531,1.342707825,984.9948883,126.1220322,,0,,
15463,5.514382782,-7.595654755,2.061812439,984.9948883,127.948143,,0,,
